commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang
Boulemane	1.49	4.3	2.9	0.9493198186182982	0.9360730593607306	0.9461756373937678	0.9447	Bon	189
Berkane	1.5	4.3	2.9	0.9487863430248066	0.9360730593607306	0.9461756373937678	0.9445	Bon	190
Rommani	1.6	4.5	2.2	0.9434515870898906	0.9315068493150684	0.9660056657223796	0.9444	Bon	191
Ech-challalate	1.39	3.8	4.2	0.9546545745532142	0.9474885844748858	0.9093484419263456	0.9434	Bon	192
Sabbah	1.3	3.6	5.0	0.9594558548946386	0.952054794520548	0.886685552407932	0.9427	Bon	193
Saada	1.41	3.9	4.2	0.953587623366231	0.9452054794520548	0.9093484419263456	0.9422	Bon	194
Ben Ahmed	1.44	4.0	4.1	0.9519871965857563	0.9429223744292238	0.9121813031161473	0.9413	Bon	195
Oulad Berhil	1.58	4.5	2.9	0.9445185382768738	0.9315068493150684	0.9461756373937678	0.9409	Bon	196
Tahla	1.61	4.7	2.6	0.942918111496399	0.9269406392694064	0.9546742209631728	0.9405	Bon	197
Ahfir	1.71	4.9	1.9	0.9375833555614831	0.9223744292237442	0.9745042492917847	0.9404	Bon	198
El Mariniyine	1.66	4.8	2.3	0.9402507335289411	0.9246575342465754	0.9631728045325779	0.9402	Bon	199
Souk El Arbaa	1.63	4.5	2.8	0.9418511603094158	0.9315068493150684	0.9490084985835694	0.9402	Bon	199
Touissit	1.55	4.3	3.5	0.9461189650573486	0.9360730593607306	0.9291784702549575	0.9397	Bon	201
Zag	1.68	4.6	2.6	0.9391837823419579	0.9292237442922374	0.9546742209631728	0.9393	Bon	202
Chichaoua	1.54	4.3	3.7	0.9466524406508402	0.9360730593607306	0.9235127478753541	0.9389	Bon	203
Belfaâ	1.52	4.4	3.7	0.9477193918378234	0.9337899543378996	0.9235127478753541	0.9387	Bon	204
Afourar	1.5	4.1	4.2	0.9487863430248066	0.9406392694063928	0.9093484419263456	0.9385	Bon	205
Mirleft	1.04	3.0	7.7	0.9733262203254202	0.9657534246575342	0.8101983002832861	0.9384	Bon	206
