Libelle Arabe;commune;taux_vieillesse;commune_norm
??? ?????;Ain Maatouf;16.7;ainmaatouf
???????;Traiba;16.7;traiba
?????? ???????;Meknassa Acharqia;16.7;meknassaacharqia
????? ??? ????;N'zalat Bni Amar;16.7;nzalatbniamar
?????;Itzer;16.7;itzer
???????;Mestferki;16.7;mestferki
??????;Ounagha;16.7;ounagha
???? ????? ???????;Sidi M'hamed Ou Marzouq;16.7;sidimhamedoumarzouq
????????;Tafingoult;16.7;tafingoult
????? ???? ???????;Zaouiat Sidi Ben Hamdoun;16.6;zaouiatsidibenhamdoun
??????;Khouribga;16.6;khouribga
??? ?????;Ait Ouaarda;16.6;aitouaarda
???? ?????;Kasba Tadla;16.6;kasbatadla
??????;Zghira;16.6;zghira
?????;Ajdir;16.6;ajdir
??? ??????;Ain Zohra;16.6;ainzohra
?????? ?????;Aguelmam Azegza;16.6;aguelmamazegza
??????;M'ramer;16.6;mramer
???????;Ezzaouite;16.6;ezzaouite
?????;Iguidi;16.6;iguidi
????? ?????;Ouled Zidane;16.5;ouledzidane
????? ???? ??? ?? ????;Oulad Sidi Ali Ben Youssef;16.5;ouledsidialibenyoussef
??????;Laaounate;16.5;laaounate
?????;Gdana;16.5;gdana
??????;El Menzeh;16.5;elmenzeh
???????;Boulanouare;16.5;boulanouare
????? ????;Ouled Zmam;16.5;ouledzmam
?????;Tabia;16.5;tabia
??????;Bradia;16.5;bradia
???????;Rouached;16.5;rouached
???????;Moqrissat;16.5;moqrissat
??? ??????;Ain Mediouna;16.5;ainmediouna
?????;Bouhlou;16.5;bouhlou
??????;Maghraoua;16.5;maghraoua
????????;Mouarid;16.5;mouarid
???????;Touama;16.5;touama
??? ???????;Ain Chouater;16.5;ainchouater
????;Safi;16.4;safi
??? ????;Aïn-Chock;16.4;ainchock
????;Rima;16.4;rima
????????;Brachoua;16.4;brachoua
????? ???? ?????;Ouled Said Loued;16.4;ouledsaidloued
????;Ouezzane;16.4;ouezzane
????;Azrou;16.4;azrou
?????;Kerrouchen;16.4;kerrouchen
???? ??????-???????;Sidi Slimane Echcharaa;16.4;sidislimaneechcharaa
??????;Guenfouda;16.4;guenfouda
?????;Tamaguert;16.4;tamaguert
????;Tatoft;16.3;tatoft
??? ???;Bni Oual;16.3;bnioual
??????;Khenifra;16.3;khenifra
??? ?????;Oued Ifrane;16.3;ouedifrane
??? ?????;Ain Sfa;16.3;ainsfa
????????;Korimate;16.3;korimate
?? ?????;Fam El Hisn;16.3;famelhisn
??? ?????;Ahl Tifnoute;16.3;ahltifnoute
?????;Telouet;16.3;telouet
??? ????? ???????;Ras El Ain Chaouia;16.2;raselainchaouia
??? ????;Ain Blal;16.2;ainblal
?????;Lagfaf;16.2;lagfaf
???? ??;Oued Zem;16.2;ouedzem
???????;Tifarouine;16.2;tifarouine
