commune_norm	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite	indice_transport	indice_densite_routiere	Indice_POI	Indice_accessibilite_norm	indice_transport_norm	indice_densite_routiere_norm	Indice_POI_norm
ouledalitoualaa	27.6	15.6	0.8723		0.5821	1.96	0.0	3.92	0.0	0.04245713405457929	0.0	0.05969372825698237	0.0
ouledaliyoussef	27.5	17.1	0.3722		0.4535	2.16	0.24	3.82	0.88	0.04719697598085106	0.006315124723713297	0.058068082062620104	0.03967270022315905
ouledamer	30.6	14.4	0.8113		0.5188	2.08	0.0	4.15	0.04	0.045301039210342356	0.0	0.06343271450401558	0.0018033045555981388
ouledamghar	25.6	16.1	0.7741		0.3954	1.23	0.0	2.39	0.15	0.02515671102368737	0.0	0.03482134148323972	0.0067623920834930205
ouledamrane	30.0	13.6	0.7374		0.539	1.03	0.0	2.05	0.04	0.020416869097415608	0.0	0.029294144422408016	0.0018033045555981388
ouledayad	26.9	15.4	0.9207		0.6543	11.24	0.0	22.43	0.15	0.26238579943358903	0.0	0.36060083883343763	0.0067623920834930205
ouledayyad	30.6	12.7	0.7966		0.5802	2.25	0.24	4.32	0.11	0.049329904847673356	0.006315124723713297	0.06619631303443144	0.0049590875278948815
ouledazzouz	58.2	24.4	0.8926		0.6873	17.05	13.46	25.44	1.46	0.4000782073917836	0.3541732449215874	0.4095327892837418	0.06582061627933207
ouledbenhammadi	29.4	13.5	0.7368		0.6527	5.42	0.0	10.78	0.15	0.12445639937908076	0.0	0.17121305719023378	0.0067623920834930205
ouledberhil	28.7	10.8	0.9409		0.6692	5.85	0.24	11.18	0.95	0.13464705952056505	0.006315124723713297	0.17771564196768283	0.04282848319545579
ouledboualiloued	33.9	13.7	0.7754		0.5827	1.71	0.0	3.38	0.11	0.036532331646739594	0.0	0.05091523880742614	0.0049590875278948815
ouledboualinouaja	28.4	15.1	0.659		0.4127	1.27	0.0	2.55	0.0	0.026104679408941723	0.0	0.03742237539421934	0.0
ouledboubker	24.8	19.4	0.6608		0.3032	0.58	0.0	1.15	0.04	0.009752224763304146	0.0	0.01466332867314763	0.0018033045555981388
ouledboughadi	28.4	15.0	0.7572		0.5887	1.34	0.0	2.66	0.07	0.02776362408313684	0.0	0.03921058620801783	0.0031557829722967433
ouledbourahmoune	28.7	15.0	0.8314		0.4238	2.49	0.96	4.37	0.07	0.055017715159199475	0.025260498894853187	0.06700913613161256	0.0031557829722967433
ouledbourima	29.8	14.5	0.4314		0.5576	0.46	0.0	0.91	0.0	0.006908319607541091	0.0	0.010761777806678193	0.0
ouledboussaken	27.9	20.4	0.6617		0.3998	1.48	0.0	2.97	0.0	0.03108151343152707	0.0	0.04425008941054086	0.0
ouledcebbah	27.0	17.8	0.7626		0.6461	3.96	0.0	7.91	0.0	0.08985555331729692	0.0	0.12455701141203675	0.0
ouledchbana	35.3	11.2	0.4317		0.2756	5.72	0.0	11.45	0.0	0.1315661622684884	0.0	0.18210488669246094	0.0
ouledcherki	33.3	12.1	0.6076		0.5448	0.94	0.0	1.88	0.0	0.018283940230593314	0.0	0.026530545891992163	0.0
ouledchrif	29.3	14.5	0.4941		0.4515	1.7	0.0	3.39	0.0	0.036295339550426006	0.0	0.05107780342686237	0.0
ouleddahou	25.6	14.3	0.9206		0.6713	4.62	3.85	6.79	0.37	0.10549703167399373	0.10130512577623414	0.10634977403517938	0.016680567139282784
ouleddaoud	29.8	14.7	0.511		0.4439	1.89	0.0	3.76	0.04	0.04079818938038418	0.0	0.05709269434600275	0.0018033045555981388
ouleddaoudzkhanine	20.6	23.0	0.6996		0.4397	1.39	0.0	2.76	0.07	0.028948584564704775	0.0	0.040836232402380095	0.0031557829722967433
ouleddlim	31.0	13.2	0.5635		0.4619	2.86	4.57	2.95	0.07	0.06378642272280222	0.12025049994737404	0.0439249601716684	0.0031557829722967433
ouledelgarne	35.9	12.5	0.8228		0.5352	6.35	0.0	12.69	0.04	0.14649666433624445	0.0	0.20226289950255302	0.0018033045555981388
ouledfares	30.5	13.3	0.7035		0.4401	2.73	0.0	5.41	0.11	0.06070552547072558	0.0	0.08391585655298013	0.0049590875278948815
ouledfareselhalla	28.1	14.4	0.768		0.5334	1.4	0.0	2.81	0.0	0.029185576661018363	0.0	0.04164905549956123	0.0
ouledfennane	29.2	16.0	0.7108		0.6148	1.76	0.0	3.51	0.0	0.03771729212830754	0.0	0.053028578860097084	0.0
