ï»¿libelle_arabe,commune,densite,densite_norm,commune_norm
???? ?????,Sidi Yacoub,18868.0,0.0332356212531706,sidiyacoub
???????,Talsint,18806.0,0.0331263341400602,talsint
??? ????? ?????,Ait Sebaa Lajrouf,18701.0,0.0329412511259216,aitsebaalajrouf
????? ?????,Outat El Haj,18691.0,0.0329236241721941,outatelhaj
????????,Al Haouafate,18528.0,0.0326363048264362,elhaouafate
????? ?? ?????,Oulad Si Bouhya,18527.0,0.0326345421310634,ouledsibouhya
???? ?????,Ribate El Kheir,18468.0,0.0325305431040712,ribateelkheir
??? ?????,Ait Majden,18448.0,0.0324952891966163,aitmajden
????,Tata,18359.0,0.0323384093084417,tata
?????,Zerkten,18295.0,0.0322255968045858,zerkten
??????,Sahel,18236.0,0.0321215977775936,sahel
?????,Lkheng,18219.0,0.0320916319562569,lkheng
?????,Malloussa,18188.0,0.0320369883997017,malloussa
???????,Saadla,18134.0,0.0319418028495733,saadla
??? ?????,Ait Tamlil,18088.0,0.0318607188624269,aittamlil
????????,Laghnimyine,18081.0,0.0318483799948176,laghnimyine
???????,Lamrasla,17997.0,0.0317003135835068,lamrasla
??? ?????,Ahl Angad,17943.0,0.0316051280333784,ahlangad
???? ?????,Sidi Redouane,17903.0,0.0315346202184684,sidiredouane
???? ????,Sidi Jaber,17901.0,0.0315310948277229,sidijaber
???? ???? ?? ???,Sidi Ahmed Ou Amar,17898.0,0.0315258067416047,sidiahmedouamar
?????? ????????,Rissana Janoubia,17878.0,0.0314905528341497,rissanajanoubia
????,Massa,17854.0,0.0314482481452037,massa
??? ?????,Ait Ishaq,17841.0,0.031425333105358,aitishaq
?????,Issaguen,17832.0,0.0314094688470033,issaguen
?????,Agafay,17769.0,0.0312984190385201,agafay
???? ?????,KalÃ¢at M'gouna,17737.0,0.0312420127865922,kalaatmgouna
??????,Ikniouen,17707.0,0.0311891319254097,ikniouen
???? ???? ??????,Sidi Moussa Lhamri,17661.0,0.0311080479382633,sidimoussalhamri
????? ??????,Oulad Zbair,17558.0,0.0309264903148702,ouledzbair
??????,Laaounate,17485.0,0.0307978135526596,laaounate
????? ?????,Chorfa M'daghra,17483.0,0.0307942881619141,chorfamdaghra
??? ???????,Dar Chaffai,17408.0,0.030662086008958,darchaffai
??? ??????,Bab Marzouka,17322.0,0.0305104942069016,babmarzouka
??? ?????,Ait Iaaza,17289.0,0.0304523252596009,aitiaaza
???????,El Gantour,17270.0,0.0304188340475187,elgantour
???????,Douirane,17254.0,0.0303906309215547,douirane
????,Melaab,17229.0,0.030346563537236,melaab
?????,Anjra,17214.0,0.0303201231066448,anjra
???? ??????,Sidi Ettiji,17197.0,0.0302901572853081,sidiettiji
