commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
aitboudaoud	Ait Boudaoud	37.7	15.0	0.7695		0.4653	0.61	0.61	0.0	1.12	0.26	0.0083622268483183	0.26	1.12	0.0	0.61	4757.0
aitboufoulen	Ait Boufoulen	22.8	18.6	0.5671		0.2702	2.52	2.52	0.0	5.01	0.07	0.0016357813059104	0.07	5.01	0.0	2.52	941.0
aitbououlli	Ait Bou Oulli	32.1	10.2	0.7252		0.4432	1.03	1.03	0.0	1.91	0.4	0.0211153278701528	0.4	1.91	0.0	1.03	11992.0
aitbourzouine	Ait Bourzouine	28.1	12.9	0.8508		0.6285	2.05	2.05	0.0	4.05	0.15	0.0139129545771029	0.15	4.05	0.0	2.05	7906.0
aitbouyahiaelhajjama	Ait Bouyahia El Hajjama	23.4	19.1	0.7987		0.6788						0.0078933498791672	0.11	11.73	0.0		4491.0
aitbuyahyaelhajjama							5.89	5.89	0.0	11.73	0.11					5.89	
aitdaoud	Ait Daoud	31.8	12.8	0.8419		0.403	3.33	3.33	0.0	6.64	0.07	0.0063739064678581	0.07	6.64	0.0	3.33	3629.0
aitelfarsi	Ait El Farsi	36.4	13.2	0.6843		0.5353	0.88	0.88	0.0	1.61	0.37	0.0099416019023008	0.37	1.61	0.0	0.88	5653.0
aitelmane	Ait El Mane	25.1	20.5	0.3026		0.4462	1.67	1.67	0.0	3.3	0.11	0.00296309092159	0.11	3.3	0.0	1.67	1694.0
aiterkha	Ait Erkha	28.6	18.0	0.8202		0.5654	3.28	3.28	0.24	6.39	0.07	0.0078810110115579	0.07	6.39	0.24	3.28	4484.0
aitfaska	Ait Faska	29.4	11.4	0.9253		0.7034	4.79	4.79	8.17	4.48	0.51	0.0582676582415703	0.51	4.48	8.17	4.79	33069.0
aithaddouyoussef	Ait Haddou Youssef	34.1	10.4	0.4655		0.325	1.25	1.25	0.0	2.49	0.0	0.0090972708187543	0.0	2.49	0.0	1.25	5174.0
